Batsmen,Team,Batting Style,Bowling Style,Playing Role,Image,Description
Tre Manders,Bermuda,Right hand Bat,"JA Manders (cousin),",JA Manders,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/171400/171459.1.jpg",
Allan Craig Douglas,Bermuda,Allan Douglas jnr,Right hand Bat,AC Douglas (father),"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321100/321103.png",
Dion Curt Stovell,Bermuda,Curt Stovell,Right hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321100/321112.png",
Delray Millard Wendell Rawlins,Bermuda,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321100/321109.png","Delray Rawlins announced himself as a future star with a series of eye-catching innings in Sussex's T20 middle-order, and his clean hitting, useful fingerspin and superb fielding make him a desirable all-round package across formats. "
Kamau Sadiki Leverock,Bermuda,Bongy,Left hand Bat,Right arm Medium fast,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321100/321116.png",
Malachi Olin Jones,Bermuda,Right hand Bat,Right arm Medium fast,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321100/321120.png","Malachi Jones was just 17 when he played at cricket's grandest spectacle - the World Cup - in 2007 and although he was included in only one match against India he made an instant impact, dismissing Robin Uthappa with his first ball. While he had the leadership skills to captain his club team, Willow Cuts, to domestic honours in the 2006 Premier Two-Day League, Jones's occasional lapses of temperament have caused questions to be asked about his discipline and commitment. More of a batsman in his early youth, Jones has latterly focused on his bowling and his selection to the national side was based mainly on his skills in that area. He won the Best Young Player award at the end of Bermuda's domestic season in 2006 while his father, Olin, collected the award for best player. Jones made his senior one-day debut against Kenya in November 2006, playing at the World Cup and then joining Bermuda's Under-19 squad at the Under-19 World Cup in 2008. Part of Bermuda's squad for the Intercontinental Shield competition in 2009-10, Jones nevertheless struggled as his own performances mirrored that of his team.
Liam Brickhill September 2010"
Onias Greg Lewis Bascome,Bermuda,Right hand Bat,Right arm Medium,"O Bascome (brother),",,
Macai Simmons,Bermuda,Right hand Bat,Right arm Medium,Middle order Batter,,
Okera Bascome,Bermuda,Right hand Bat,Wicketkeeper,"OGL Bascome (brother),",,
Dominic Sabir,Bermuda,Right hand Bat,Bermuda,Bermuda,,
Zeko Burgess,Bermuda,,,,,
Ramiro Escobar,Argentina,Right hand Bat,Wicketkeeper,Argentina Under-19s,,
Esteban Miguel Nino,Argentina,Right hand Bat,Right arm Medium fast,Argentina,,
Nikunj Ahir,Panama,Right hand Bat,Right arm Medium fast,Bowler,,
Aslam Doria,Panama,Right hand Bat,Right arm Medium,Panama,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/280300/280393.1.jpg",
Hernan Fennell,Argentina,Right hand Bat,Right arm Medium,Argentina,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/135100/135158.1.jpg",
Agustin Husain,Argentina,Right hand Bat,Right arm Offbreak,Argentina Under-19s,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/135100/135161.1.jpg",
Jonathan Hurley,Argentina,Right hand Bat,Slow Left arm Orthodox,Argentina,,
Rodney Jamal Omar Trott,Bermuda,Right hand Bat,Right arm Offbreak,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321100/321123.png","Rodney Trott, an allrounder who bowls offspin and bats in the lower-order, made his first-class debut in an Intercontinental Cup match against Netherlands in 2006. Since then he has gone on to play one-day international cricket for Bermuda, making his debut against Kenya in October 2007. Trott was appointed captain of Bermuda's Under-19 squad for the 2008 World Cup. Cricinfo staff February 2008"
Ridwan Abdulkareem,Nigeria,Right hand Bat,Right arm Offbreak,Nigeria Under-19s,,
Mohammad Saif Hassan,Bangladesh,Right hand Bat,Right arm Offbreak,Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/323100/323174.png","Saif Hassan is a compact opening batsman, whose appetite for batting for long periods in Bangladesh's age-group, domestic and representative cricket pushed him onto the international stage at the age of 21. Scores of 117 against Sri Lanka A and a double-hundred five days later in the domestic first-class tournament gave the selectors enough reason to pick him in the Test squad to play India, but he could not debut as expected in the second Test after injuring his right hand while taking a superb catch at gully as a substitute fielder in the first. "
Aminul Islam Biplob,Bangladesh,Biplob,Right hand Bat,Legbreak Googly,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/319700/319720.png",
Zamoyoni Ramadhani Jabeneke,Tanzania,Left hand Bat,Right arm Medium,Tanzania,,
Sarfaraz Ahmed,Pakistan,Right hand Bat,Right arm Offbreak,Wicketkeeper,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316500/316592.png","Sarfraz Ahmed is a wicketkeeper batsman who could have meandered into irrelevance, as has been the case for many capable cricketers on Pakistan's domestic circuit. Instead, he became the first Pakistan captain since the great Imran Khan to win a 50-over world title. "
Oshane Romaine Thomas,West Indies,Left hand Bat,Right arm Fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322000/322032.png",
Ryan Mark Scott,United States of America,Left hand Bat,United States of America,United States of America,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/341900/341901.png",
Ritwik Rasananda Behera,United States of America,Right hand Bat,Right arm Offbreak,Batting Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/341900/341900.png",
Separamadu Lasith Malinga,Sri Lanka,Separamadu Lasith Malinga Swarnajith,Right hand Bat,Right arm Fast,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316500/316539.png","One of the great limited-overs bowlers in his pomp, Lasith Malinga gained a reputation for delivering searing inswinging yorkers from a round-arm action as destructive as it was distinctive. That yorker, a deceptive slower ball, and an excellent bouncer formed the body of Malinga's menace, while the action made his deliveries hard to pick up. All that ability was also set off by street smarts; Malinga was rarely shy to switch up plans, and reshuffle fields. Even when batsmen thought they knew what was about to come, Malinga retained the capacity to surprise."
Manish Krishnanand Pandey,India,Right hand Bat,Right arm Medium,Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/323000/323052.png","Manish Pandey will always be remembered as the first Indian to score a century in the IPL. In one night, the 19-year-old went from being Karnataka's next big Ranji hope to entering the record books as he hit his way to the highest Twenty20 score by an Indian. That century also meant he would not have to carry out his intention of following his father into the army if he did not make it as a professional cricketer."
Gary Craig Wilson,Ireland,"Gaz, Wils",Right hand Bat,Wicketkeeper,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316500/316573.png","Gary Wilson, a staple in Ireland's side, also forged a solid county career with Surrey for more than a decade until he upped sticks and joined Derbyshire in 2016 as a growing number of rivals began to gain precedence both with the bat and with the gloves. He remained at the county for two seasons before being released from his contract a year early to return to his native Ireland and join the recently-established first-class system."
Sherfane Eviston Rutherford,West Indies,Left hand Bat,Right arm Fast medium,Middle order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322100/322173.png",
Khary Pierre,West Indies,Left hand Bat,Slow Left arm Orthodox,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322000/322018.png",
Colin Munro,New Zealand,Left hand Bat,Right arm Medium fast,Opening Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/319700/319772.png","A bruising left-hander with strong shots square of the wicket, Colin Munro has earned a reputation as one of New Zealand's most reliable big hitters. Having made his international debut in 2012, Munro was in and out of the limited-overs teams, until he hit a tournament-topping 366 runs at a strike rate of 175 in the 2015-16 Georgie Pie Super Smash. That run of form earned him a steady T20 place in New Zealand's top order. "
Luteru Ross Poutoa Lote Taylor,New Zealand,Right hand Bat,Right arm Offbreak,Middle order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316500/316538.png","Ross Taylor has been a fulcrum of New Zealand's batting across formats for more than 10 years, a period that has brought consistent Test success, especially on home soil, and the appearance in consecutive World Cup finals. In the mid-2000s, he was just what New Zealand need in the wake of the mass of departures from their batting line-up: an aggressive top-order batsman capable of taking up the challenge to world-class attacks. In only his third ODI, Taylor hammered a superb 128 against Sri Lanka at Napier in 2006 and he followed it up with 84 at better than a run a ball in his first ODI outside New Zealand, at Hobart against Australia in January 2007. He scores heavily from the pull and from slog-sweeping the spinners (and sometimes the quicks)."
Shivam Dube,India,Left hand Bat,Right arm Medium,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322700/322703.png",
Tamim Iqbal Khan,Bangladesh,Left hand Bat,Opening Batter,"Nafees Iqbal (brother),","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316500/316583.png","Tamim Iqbal was already one of Bangladesh's most assured batsmen at the time of his 21st birthday, and will be a vital component at the top of the order for years to come. His promise was apparent when, batting for the Under-19s against England at the end of 2005, he smashed 112 from just 71 balls to help Bangladesh cruise to victory. The left-hander is regarded as one of the most exciting prospects in Bangladesh cricket and is arguably the hardest hitter of the cricket ball in the country. His elegance and style through the off side is a treat to watch but his trademark shot is the straight drive, capped with a text-book like follow-through. "
Ahsan Ali,Pakistan,Right hand Bat,Legbreak,Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/302800/302864.jpg","With Yuvraj Singh as cricketing hero, Ahsan Ali set high expectations as he was picked for the Under-19 World Cup in New Zealand. An opening batsman, his favourite shot is the firm push down the ground.
Cricinfo Staff, January 2010"
Yuzvendra Singh Chahal,India,Right hand Bat,Legbreak Googly,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/319900/319955.png","Yuzvendra Chahal is an attacking legspinner who first attracted attention when he took 34 wickets in the National Under-19 Cooch Behar Trophy in 2009, ending the tournament as its leading wicket-taker. A former chess player who represented India at junior levels, Chahal made his first-class debut for Haryana the same year and was signed by Mumbai Indians in 2011 to be part of their IPL squad. "
Thomas Charles Bruce,New Zealand,Right hand Bat,Right arm Offbreak,Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/324200/324216.png","A big-hitting batsman with a fine eye and a clean swing, Tom Bruce made a splash in the 2015-16 Super Smash, when he hit 223 runs at strike rate of 140.25 for Central Districts. That had been his first senior T20 tournament, but only Mahela Jayawardene made more runs for the team."
Scott Christopher Kuggeleijn,New Zealand,Right hand Bat,Right arm Fast medium,Bowling Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321300/321308.png",
Zephania Arinaitwe,Uganda,Young Devilliers,Right hand Bat,Right arm Offbreak,,
Dale Willem Steyn,South Africa,Right hand Bat,Right arm Fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316500/316566.png","Scary eyes, throbbing veins and a chainsaw celebration have all made Dale Steyn South Africa's most feared fast bowler. Extreme pace, the ability to swing the ball both ways, and accuracy have perhaps made him the country's best ever. At the peak of his powers, Steyn possessed a lithe and wiry body, a steaming run-up that culminated in a aerodynamic action, and a ripper of an outswinger."
Joseph Liam Denly,England,No Pants,Right hand Bat,Legbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322900/322906.png","As Joe Denly himself remarked upon winning a recall for England's Test tour of Sri Lanka in 2018, ""I went missing for a few years."" Beyond his 30th birthday, his county career seemed to be slowly and respectably fading away. But that England call, legitimised by his peers as he won the PCA Players' Player of the Year award as well as topping the Most Valuable Player rankings, marked a wonderful renaissance. "
Khurram Shahzad,Qatar,Right hand Bat,Right arm Offbreak,Qatar,,
Mohammed Awais Malik,Qatar,Right hand Bat,Right arm Medium,Qatar,,
Musawar Shah,Qatar,Left hand Bat,Slow Left arm Orthodox,Qatar,,
Bhushan Vilas Save,Malaysia,Right hand Bat,Malaysia Selection XI,Malaysia Selection XI,,
Waqas Khan,Hong Kong,Right hand Bat,Right arm Medium fast,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321900/321910.png",
Hamed Khan,Hong Kong,Right hand Bat,Right arm Medium,Hong Kong,,
Waqas Barkat,Hong Kong,Right hand Bat,Legbreak,Wicketkeeper,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321900/321902.png","Barkat featured in all of Hong Kong's eight matches during 2010 Under-19 World Cup Qualifiers, and made the cut for the main tournament in New Zealand. He has also gained considerable experience, having been involved with the senior squad."
Nasrulla Rana,Hong Kong,Right hand Bat,Right arm Medium fast,Hong Kong Under-19s,,
Francois du Plessis,South Africa,Right hand Bat,Legbreak,Middle order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316500/316559.png","Classy, composed and a fine crafter of innings', Faf du Plessis emerged as one of South Africa's most consistent batsmen in the post-Jacques Kallis era. Du Plessis is strong on the front foot, has impeccable defences and enjoys spending time at the crease. A natural leader, du Plessis was put in charge of the T20 side in February 2013 and formed part of the senior core in other formats. "
Masood Jayezeh,Iran,Right hand Bat,Right arm Offbreak,Iran,,
Emran Shahbakhsh,Iran,Right hand Bat,Right arm Medium,Iran,,
Arshad Mazarzei,Iran,Right hand Bat,Wicketkeeper,Iran,,
Naiem Bameri,Iran,Right hand Bat,Right arm Medium fast,Iran,,
Mohammad Yousef Shadzehisarjou,Iran,Right hand Bat,Right arm Medium,Iran,,
Navid Balouch,Iran,Right hand Bat,Right arm Offbreak,Iran,,
Dad Khoda Dahani,Iran,Right hand Bat,Iran,Iran,,
Nader Zahadiafzal,Iran,Right hand Bat,Right arm Offbreak,Iran,,
Ali Mohammadipour Narouei,Iran,Right hand Bat,Iran,Iran,,
Navid Abdollahpour,Iran,Right hand Bat,Right arm Medium,Iran,,
Tamoor Sajjad Zafar,Qatar,Right hand Bat,Legbreak,Qatar,,
Muthuthantrige Nilantha Rohana Cooray,Maldives,Right hand Bat,Legbreak,Burgher Recreation Club,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/88300/88334.jpg",
Ihala Gedara Tharaka Ruwan Kumara,Maldives,Right hand Bat,Right arm Offbreak,Maldives,,
Nazwan Badheeu Ismail,Maldives,Right hand Bat,Right arm Medium,Maldives,,
Shamsudheen Englam Purat,Saudi Arabia,Right hand Bat,Right arm Offbreak,Saudi Arabia,,
Malik Muhammad Naeem,Saudi Arabia,Right hand Bat,Right arm Offbreak,Saudi Arabia,,
Shoaib Ali,Saudi Arabia,Right hand Bat,Right arm Offbreak,Saudi Arabia,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/141100/141113.1.jpg",
Usman Ali,Saudi Arabia,Right hand Bat,Slow Left arm Orthodox,Saudi Arabia,,
Diju Xavier Sheeli,Kuwait,Right hand Bat,Occasional Wicketkeeper,Batter,,
Imran Masood	Butt	,Bahrain,Right hand Bat,Right arm Medium,Bahrain,,
Abdul Majid Malik,Bahrain,Left hand Bat,Slow Left arm Orthodox,Bahrain,,
Mohammad Ebrahim Sanuth,Oman,Left hand Bat,Right arm Offbreak,Oman,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/98900/98937.1.jpg",
Wasim Ali,Oman,Left hand Bat,Slow Left arm Orthodox,Oman,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321700/321790.png",
Mehran Dorri,Iran,Right hand Bat,Right arm Medium,Iran,,
Adel Kolasangiani,Iran,Right hand Bat,Right arm Medium,Iran,,
Syed Ali Abbas,Saudi Arabia,Right hand Bat,Right arm Medium,Saudi Arabia,,
Chandana Amrawickram Liyanage,Maldives,Left hand Bat,Right arm Medium,Maldives,,
Waheed Ahmed,United Arab Emirates,Right hand Bat,Right arm Medium,Bowler,,
Mohammad Amin,Kuwait,Right hand Bat,Right arm Offbreak,Kuwait,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/136700/136736.1.jpg",
Aphsal Ashraf,Kuwait,Left hand Bat,Bowling Allrounder,Kuwait,,
Muhammad Ansar,Kuwait,Right hand Bat,Right arm Medium,Bowler,,
Naveed Fakhr,Kuwait,Left hand Bat,Left arm Wrist spin,Kuwait,,
Ansh Tandon,United Arab Emirates,Left hand Bat,Right arm Medium fast,United Arab Emirates,,
Muhammad Ayaz,United Arab Emirates,Left hand Bat,Left arm Medium fast,United Arab Emirates,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/298900/298964.1.jpg",
Khawar Zafar,Saudi Arabia,Right hand Bat,Legbreak Googly,Saudi Arabia,,
Mohammed Sameer,Bahrain,Right hand Bat,Right arm Medium,Bahrain Under-16s,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/115600/115673.1.jpg",
Mehran Siasar,Iran,Right hand Bat,Right arm Offbreak,Iran,,
Sidhant Singh,Singapore,Right hand Bat,Singapore CA Presidents's XI,Singapore CA Presidents's XI,,
Daniel Frederik Jacobs,Thailand,Left hand Bat,Legbreak Googly,Thailand,,
Wanchana Uisuk,Thailand,Left hand Bat,Left arm Medium,Thailand Under-19s,,
Naveed Pathan,Thailand,Right hand Bat,Right arm Medium,Thailand,,
Hendrik Johannes Jordaan,Thailand,Right hand Bat,Right arm Medium,Boland,,
Ziaul Hoque,Thailand,Right hand Bat,Right arm Medium fast,Occasional Wicketkeeper,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/349300/349341.png",
Robert Raina,Thailand,Left hand Bat,Right arm Medium,Thailand,,
Mahsid Faheem,Thailand,Thailand,Thailand,Thailand Under-19s,,
Nopphon Senamontree,Thailand,Right hand Bat,Slow Left arm Orthodox,Thailand,,
Paras Khadka,Nepal,Right hand Bat,"Right arm Medium fast, Right arm Offbreak",Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321700/321749.png","A titan of not just Nepal but the entire Associate world, few people have had a greater impact on their country's fortunes on the cricket field than Paras Khadka. Literally and figuratively, he was a giant for his nation: the tallest with the broadest shoulders, more often than not the top-scorer and at times the leading wicket-taker too whether with his medium pace or his offspin. In terms of his domestic popularity, he was often described as Nepal's version of Sachin Tendulkar but his skillset was much more in line with Garry Sobers."
Sushan Bhari,Nepal,Left hand Bat,Slow Left arm Orthodox,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/330400/330478.png",
James John Atkinson,Hong Kong,Right hand Bat,Wicketkeeper,Wicketkeeper,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321900/321909.png","James Atkinson is a talented wicketkeeper-batsman, whose father played minor counties cricket for Durham. A regular in the senior side, he made his ODI debut at the age of just 17, against Pakistan in the 2008 Asia Cup. With the debut making it to the record books, he also became the first person born in the 1990s to play a one-dayer."
Ismail Sardar Sardar,Thailand,Right hand Bat,Right arm Medium,Thailand,,
Gampalage Shehan Naveendra De Fonseka Gunawarna Jayasuriya,Sri Lanka,Left hand Bat,Right arm Offbreak,Batting Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322900/322949.png",
Samiullah Shinwari,Afghanistan,Right hand Bat,Legbreak,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316600/316649.png","Samiullah Shenwari plays the game with the energy typical of a 21st century cricketer. With a bouncing, high-kneed approach to the crease and a bagful of variations, his initial value to Afghanistan was as an enterprising legspinner but his batting has become increasingly useful. He pays precious little regard to the textbook, but Shenwari's good eye means that when he hacks violently at the ball, more often than not he connects and he's crept up from Afghanistan's lower order into their middle. He's also a capable fielder, and is often stationed at point. Shenwari helped to engineer Afghanistan's historic win over Bangladesh at the Asia Cup in March 2014, sharing in a 164-run stand with Asghar Stanikzai and then picking up the vital wicket of Mominul Haque. He has been part of all of Afghanistan's World T20 campaigns, and was shortlisted for the prize of ICC Associate and Affiliate player of the year in 2014. He was an automatic pick for the team that travelled to the 2015 World Cup.Liam Brickhill"
Amir Khan Mangal,Germany,Right hand Bat,Right arm Offbreak,Germany,,
Izatullah Dawlatzai,Germany,Izatullah Khan,Right hand Bat,Right arm Fast medium,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321200/321299.png","A skiddy right-arm fast bowler, Izatullah Dalwatzai was still a teenager when he played his first ODI, against Kenya in Nairobi in 2010. He'd come into contention for national honours when he was Afghanistan's second-highest wicket-taker with 11 wickets in the Under-19 World Cup Qualifiers in 2009. He remained in the frame after his debut and played a useful role in Afghanistan's qualification for the 2012 World T20. His progress has been most marked in first-class cricket, with his 6 for 57 against Scotland in the Intercontinental Cup a particular highlight. His career suffered a setback in 2014, when he missed much of the year due to injury, but he returned to the squad ahead of the 2015 World Cup as a non-travelling reserve.Liam Brickhill"
Vinod Kumar,Spain,,,,,
Tauqeer Hussain,Spain,Right hand Bat,Right arm Fast medium,Spain,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/84800/84873.1.jpg",
Confidence Tinotenda Mutombodzi,Zimbabwe,Right hand Bat,Legbreak Googly,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/112700/112767.1.jpg","Vastly experienced at first-class level, Tinotenda Mutombodzi has already taken a seven-wicket haul in an innings. A right-hand batsman and legspinner, he was part of the Zimbabwe squad to the 2008 Under-19 World Cup in Malaysia and will tour New Zealand with the side in 2010. ""Tyno"", as he is nicknamed, took up cricket at the age of nine and has represented Zimbabwe U-13s, U-14s and U-16 as well. His more recent achievements include scoring 43 at No. 8 against Pakistan U-19s in an unofficial ODI in October 2009 and picking up 4 for 27 against the same team in the same series. His cricket hero is Shane Warne, and he dreams of being a pilot if he is unable to become a professional cricketer. 
Cricinfo Staff January 2010
"
Carl Tapfuma Mumba,Zimbabwe,Right hand Bat,Right arm Fast medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/326500/326526.png",
Christopher Bobby Mpofu,Zimbabwe,Right hand Bat,Right arm Fast medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/320300/320308.png","Among the clutch of players given their chance at international level because of the exodus of the rebels, Christopher Mpofu looks like he may have the abilities to forge a decent career. A tall seam bowler, he hits the pitch hard and can get good away movement - but as with many young quick bowlers consistency is his major problem. Technically, he has a good action but a better brace of his front leg through his delivery stride would allow him to make the most of his height, rather than collapsing as he tends to do at the moment. He made his ODI debut against England in October 2004 and caused the England top-order a few anxious moments. His early Test appearances did not set the world alight, and he lost his place after taking 3 for 343 in four matches - but he has the basics and anyone with a semblance of talent should be encouraged and nurtured. Mpofu has benefited noticeably from Heath Streak's appointment as Zimbabwe's bowling coach as his action has smoothed out, his outswing is becoming more consistent (although he still has a frustrating propensity to go too wide of off stump) and his pace has increased. One definite shortcoming, however, is his crease occupation. Not content with being stumped twice in an afternoon (for a pair) in the first Test against New Zealand in August 2005, he followed up by being run out for 3 in the second match, as he strolled down the pitch to congratulate his team-mate on reaching his half-century.  He still tends to blow hot and cold and has few rivals in the race to be considered international cricket's worst batsman, but when Zimbabwe return to Test cricket Mpofu will have an important role to play. 
Andrew McGlashan"
Oliver James Webster,Isle of Man,Isle of Man,Isle of Man,,,
Sam Mills,Isle of Man,Isle of Man,Isle of Man,,,
Corbin Liebenberg,Isle of Man,Right hand Bat,Right arm Medium,Isle of Man,,
Scott Browne,Luxembourg,Right hand Bat,Opening Batter,Luxembourg,,
Honey Gori,Czech Republic,Right hand Bat,Right arm Medium,Czech Republic,,
Sumit Pokhriyal,Czech Republic,Right hand Bat,"Right arm Medium, Right arm Offbreak",Czech Republic,,
Shripal Gajjar,Czech Republic,Right hand Bat,Czech Republic,Czech Republic,,
Reinhardt Heyns,Luxembourg,Right hand Bat,Right arm Medium fast,Luxembourg,,
Surya Rengarajan,Czech Republic,Right hand Bat,Right arm Offbreak,Czech Republic,,
Salu Thomas Kanakalil,Malta,Right hand Bat,Right arm Offbreak,Malta,,
Kiran Dasan,Bulgaria,Right hand Bat,Right arm Medium,Wicketkeeper,,
Patras Masih,Romania,Right hand Bat,Right arm Medium,Romania,,
Imran Haider,Romania,Right hand Bat,Romania,Romania,,
Nikolay Aleksandrov Nankov,Bulgaria,Right hand Bat,Right arm Offbreak,Middle order Batter,,
Petre Danci,Romania,Right hand Bat,Right arm Offbreak,Middle order Batter,,
Chamunorwa Justice Chibhabha,Zimbabwe,Cham,Right hand Bat,Right arm Medium,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316500/316575.png","Chamu Chibhabha is an allrounder whose batting is his stronger suit. Chibhabha has found more success in cricket's shorter formats, where he bats up the order and is also capable of bowling seamers at surprising pace off an apparently leisurely run-up. Coming from the townships, he was well coached under the ZC development programme and has a sound technique against pace, with the discipline to play straight and the courage to take on the short ball, but is not as comfortable against spin. He is a superb fielder, usually in the covers."
Elton Chigumbura,Zimbabwe,Right hand Bat,Right arm Fast medium,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316500/316543.png","Elton Chigumbura made his first-class debut for Mashonaland in the Logan Cup, aged only 15, in 2002 and has since established himself as Zimbabwe's premier allrounder and, for a time, captain of the national side. Chigumbura is a product of the ZC development programme and took to the game at Chipembere Primary School in the Highfield township of Harare. A protégé of coach Stephen Mangongo, he won a ZCU scholarship to Churchill High School and represented Zimbabwe in two Under-19 World Cups.  "
Tendai Sam Chisoro,Zimbabwe,Left hand Bat,"Left arm Fast medium, Slow Left arm Orthodox",Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321400/321490.png",
Mohammad Faraz Akram,Zimbabwe,Left hand Bat,Right arm Medium,Allrounder,,
Abdullah Shafique,Pakistan,Right hand Bat,Right arm Offbreak,Top order Batter,,
